epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,635.765,2.09523,1.96536,1.00945,0.20575,0.134,0.08249,0.04597,2.28747,2.21658,1.01017,0.000681429,0.000227143,0.000681429,0.000227143,0.000681429,0.000227143,0.000681429,0.000227143
41,650.9,2.08397,1.951,1.00688,0.16442,0.13721,0.08274,0.04531,2.29296,2.20886,1.01012,0.00067044,0.00022348,0.00067044,0.00022348,0.00067044,0.00022348,0.00067044,0.00022348
42,666.37,2.12035,1.98916,1.00977,0.16097,0.13376,0.0841,0.04646,2.30139,2.20779,1.01082,0.000659451,0.000219817,0.000659451,0.000219817,0.000659451,0.000219817,0.000659451,0.000219817
43,682.021,2.10113,1.94312,1.00955,0.16,0.1333,0.08299,0.04554,2.30321,2.20046,1.00981,0.000648462,0.000216154,0.000648462,0.000216154,0.000648462,0.000216154,0.000648462,0.000216154
44,697.449,2.09341,1.91721,0.99899,0.16156,0.13302,0.08395,0.04695,2.28806,2.19709,1.0073,0.000637473,0.000212491,0.000637473,0.000212491,0.000637473,0.000212491,0.000637473,0.000212491
45,712.777,2.08683,1.89066,0.99776,0.19935,0.14166,0.08403,0.04652,2.30509,2.20739,1.01043,0.000626484,0.000208828,0.000626484,0.000208828,0.000626484,0.000208828,0.000626484,0.000208828
46,727.909,2.08149,1.90296,1.00269,0.07968,0.15559,0.09561,0.0561,2.29096,2.19142,1.00751,0.000615495,0.000205165,0.000615495,0.000205165,0.000615495,0.000205165,0.000615495,0.000205165
47,743.502,2.05365,1.88022,0.99907,0.07768,0.15906,0.09496,0.05426,2.27759,2.16228,1.00566,0.000604506,0.000201502,0.000604506,0.000201502,0.000604506,0.000201502,0.000604506,0.000201502
48,759.541,2.07971,1.89473,0.99737,0.0883,0.16208,0.10156,0.05996,2.27103,2.16401,1.00784,0.000593517,0.000197839,0.000593517,0.000197839,0.000593517,0.000197839,0.000593517,0.000197839
49,774.652,2.05287,1.86186,0.99294,0.09431,0.17361,0.10879,0.06581,2.27704,2.16436,1.00684,0.000582528,0.000194176,0.000582528,0.000194176,0.000582528,0.000194176,0.000582528,0.000194176
50,789.641,2.04325,1.87778,1.00076,0.08819,0.17038,0.10704,0.06541,2.27516,2.15537,1.00444,0.000571539,0.000190513,0.000571539,0.000190513,0.000571539,0.000190513,0.000571539,0.000190513
51,805.186,2.09402,1.85552,0.99465,0.09674,0.16916,0.11139,0.06802,2.30475,2.15832,1.00766,0.00056055,0.00018685,0.00056055,0.00018685,0.00056055,0.00018685,0.00056055,0.00018685
52,820.597,2.03373,1.82378,0.99248,0.09369,0.17654,0.1131,0.06965,2.27651,2.14386,1.00746,0.000549561,0.000183187,0.000549561,0.000183187,0.000549561,0.000183187,0.000549561,0.000183187
53,835.931,2.04971,1.81632,0.9943,0.09419,0.18287,0.11798,0.07404,2.27938,2.14768,1.00782,0.000538572,0.000179524,0.000538572,0.000179524,0.000538572,0.000179524,0.000538572,0.000179524
54,851.164,2.0419,1.81765,0.9915,0.09077,0.1839,0.11563,0.07068,2.27915,2.13605,1.00865,0.000527583,0.000175861,0.000527583,0.000175861,0.000527583,0.000175861,0.000527583,0.000175861
55,866.783,2.04696,1.80832,0.99328,0.09218,0.18682,0.11627,0.07064,2.26885,2.1281,1.00526,0.000516594,0.000172198,0.000516594,0.000172198,0.000516594,0.000172198,0.000516594,0.000172198
56,882.318,2.05671,1.83734,0.99673,0.09445,0.1834,0.11633,0.07129,2.26784,2.12839,1.00349,0.000505605,0.000168535,0.000505605,0.000168535,0.000505605,0.000168535,0.000505605,0.000168535
57,897.697,2.06378,1.82813,0.98734,0.09447,0.19085,0.12007,0.07219,2.27853,2.13316,1.00659,0.000494616,0.000164872,0.000494616,0.000164872,0.000494616,0.000164872,0.000494616,0.000164872
58,913.255,2.0331,1.79479,0.99733,0.09411,0.18893,0.11705,0.07095,2.2636,2.12013,1.00352,0.000483627,0.000161209,0.000483627,0.000161209,0.000483627,0.000161209,0.000483627,0.000161209
59,928.648,2.03884,1.773,0.98808,0.09447,0.18281,0.11499,0.06816,2.30971,2.14192,1.00909,0.000472638,0.000157546,0.000472638,0.000157546,0.000472638,0.000157546,0.000472638,0.000157546
60,943.7,2.03197,1.77858,0.98332,0.09308,0.19177,0.11739,0.07036,2.27866,2.12555,1.00581,0.000461649,0.000153883,0.000461649,0.000153883,0.000461649,0.000153883,0.000461649,0.000153883
61,958.968,2.01997,1.75617,0.98578,0.09701,0.19584,0.11795,0.07131,2.27386,2.11479,1.00549,0.00045066,0.00015022,0.00045066,0.00015022,0.00045066,0.00015022,0.00045066,0.00015022
62,975.431,2.03177,1.7749,0.98243,0.09646,0.19802,0.118,0.07179,2.27161,2.11476,1.00453,0.000439671,0.000146557,0.000439671,0.000146557,0.000439671,0.000146557,0.000439671,0.000146557
63,991.13,2.01267,1.78481,0.99097,0.09221,0.19124,0.11415,0.06861,2.26716,2.10709,1.00344,0.000428682,0.000142894,0.000428682,0.000142894,0.000428682,0.000142894,0.000428682,0.000142894
